unit,year,vintage,cred_total,cred_mn,cred_me_usd,dep_total,dep_mn,dep_me_usd,label_credit,label_deposit,n_vintages,rev_spread_c,rev_spread_d,doll_credit,doll_deposit,fx_credit,fx_deposit,fx_implied,fx0,doll_credit_constfx,doll_deposit_constfx
BM,2001,2007,37103329.27,7223987.8999999985,8675766.93089431,44831337.3,12605089.439999998,9357214.796747968,Créditos Directos (Miles S/.),Depósitos totales (Miles S/.),1,0,0,80.53008168773422,71.88330708127238,3.4440000069158154,3.4440000106869406,3.444000008872632,2.8089999997482193,77.13509452461265,67.5874270445318
BM,2002,2008,37893274.06,7705537.56,8590704.752418898,47417367.25,13480023.409999998,9657752.94251565,Créditos Directos (Miles S/.),Depósitos totales (Miles S/.),2,1.0555962770553151e-7,3.3742910687806216e-7,79.66515760079456,71.57154816519258,3.5139999999999993,3.5140000000000007,3.5140000000000002,2.8089999997482193,75.79677927763673,66.80504538416244
BM,2003,2009,35622600.830000006,7859132.189999999,8017172.578688999,45738630.87,13843068.73,9210384.678024836,Créditos Directos (Miles S/.),Depósitos totales (Miles S/.),3,1.4036033446629403e-7,2.6236028904946807e-7,77.93779228106968,69.73440510419894,3.4630000000000005,3.4629999999999987,3.4629999999999996,2.8089999997482193,74.13003561313134,65.14401350700763
BM,2004,2010,36145966.93,8776833.819999998,8339163.043875685,46965035.58,15472374.589999998,9595570.076173063,Créditos Directos (Miles S/.),Depósitos totales (Miles S/.),4,1.3832801570856645e-7,2.3421677930457463e-7,75.71835929303774,67.055545899365,3.282,3.282000000000001,3.282000000000001,2.8089999997482193,72.74405803382994,63.53119807847306
BM,2005,2011,43676259.78,12464090.02,9099757.947521864,55721026.93000001,18289644.25,10912939.556851313,Créditos Directos (Miles S/.),Depósitos totales (Miles S/.),5,1.1447865988500894e-7,1.2562583195929733e-7,71.46255177805429,67.17640492703676,3.430000000000001,3.4300000000000006,3.4300000000000006,2.8089999997482193,67.22159532756928,62.631558368934634
BM,2006,2012,50338760.49,17384038.98,10311239.521276595,60412210.62,22524346.53,11854775.998122651,Créditos Directos (Miles S/.),Depósitos totales (Miles S/.),6,1.1919245590519267e-7,8.276471730184198e-8,65.4658978274735,62.71557306240485,3.196,3.196,3.1959999999999997,2.8089999997482193,62.49261584146153,59.6514399352068
BM,2007,2012,66829331.41,25537501.380000003,13782319.769692922,75003815.95,30492773.290000003,14856823.31775701,Créditos Directos (Miles S/.),Depósitos totales (Miles S/.),6,7.481745223358871e-8,7.99959321007293e-8,61.78698658029863,59.3450374440582,2.996,2.9959999999999996,2.9959999999999996,2.8089999997482193,60.25417662990118,57.78120566965434
BM,2008,2012,91879149.17,39040434.59,16827616.108280253,99115308.71,41615021.02,18312193.531847127,Créditos Directos (Miles S/.),Depósitos totales (Miles S/.),5,0,0,57.508928910774756,58.01352832208718,3.14,3.1400000000000006,3.1400000000000006,2.8089999997482193,54.766779363576845,55.278619669298706
BM,2009,2013,90351876.16,43327935.87,16271259.615916954,101470458.20270996,44827689.18826,19599574.053442907,Créditos Directos* (Miles S/.),Depósitos totales (Miles S/.),5,0.39590490188529115,6.4995175907967e-8,52.04533905497154,55.821930853306434,2.89,2.889999999999998,2.8899999999999992,2.8089999997482193,51.33546451227248,55.11975276572213
BM,2010,2014,107449665.98999998,51661767.54,19860412.410110354,116754663.838,60977091.235000014,19856736.41972232,Créditos Directos* (Miles S/.),Depósitos totales (Miles S/.),5,0.4267909540963233,1.219795930929024e-7,51.92002965853053,47.77331437516942,2.8089999994964856,2.8089999999999997,2.8089999997482193,2.8089999997482193,51.920029660767646,47.77331437293303
BM,2011,2015,125758541.54,62145156.78999999,23595469.124629088,126071300.58524,66419891.82964001,22125893.45534124,Créditos Directos* (Miles S/.),Depósitos totales (Miles S/.),5,0.42315111507894576,0,50.583748802276396,47.315613052843986,2.6959999995761894,2.696000000000001,2.6959999997812836,2.8089999997482193,51.609702730174526,48.3401234962294
BM,2012,2016,141458377.8,71816902.88000003,27310382.313725494,140324939.83677,81899453.39971,22911955.465513725,Créditos Directos* (Miles S/.),Depósitos totales (Miles S/.),5,0.4584540214690347,0,49.23107136041255,41.635853544653,2.5500000007323216,2.55,2.5500000003982284,2.8089999997482193,51.648792422709526,44.003871844530316
